record_id,state_code,state_name,year,indicator_id,value_numeric,value_text,unit_label,source_system,source_dataset,source_release_id,source_url,source_row_id,quality_flag,comparability_flag,notes
AR_2012_ACS_POVERTY_RATE,AR,Arkansas,2012,frpl_eligible_rate,19.8000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2012_S1701_2026-05-06,"https://api.census.gov/data/2012/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2012:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2013_ACS_POVERTY_RATE,AR,Arkansas,2013,frpl_eligible_rate,19.7000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2013_S1701_2026-05-06,"https://api.census.gov/data/2013/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2013:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2014_ACS_POVERTY_RATE,AR,Arkansas,2014,frpl_eligible_rate,18.9000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2014_S1701_2026-05-06,"https://api.census.gov/data/2014/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2014:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2015_ACS_POVERTY_RATE,AR,Arkansas,2015,frpl_eligible_rate,19.1000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2015_S1701_2026-05-06,"https://api.census.gov/data/2015/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2015:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2016_ACS_POVERTY_RATE,AR,Arkansas,2016,frpl_eligible_rate,17.2000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2016_S1701_2026-05-06,"https://api.census.gov/data/2016/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2016:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2017_ACS_POVERTY_RATE,AR,Arkansas,2017,frpl_eligible_rate,16.4000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2017_S1701_2026-05-06,"https://api.census.gov/data/2017/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2017:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2018_ACS_POVERTY_RATE,AR,Arkansas,2018,frpl_eligible_rate,17.2000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2018_S1701_2026-05-06,"https://api.census.gov/data/2018/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2018:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2019_ACS_POVERTY_RATE,AR,Arkansas,2019,frpl_eligible_rate,16.2000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2019_S1701_2026-05-06,"https://api.census.gov/data/2019/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2019:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2020_ACS_POVERTY_RATE,AR,Arkansas,2020,frpl_eligible_rate,16.1000,,percent,Census_ACS,ACS/ACS5/SUBJECT S1701,ACS/ACS5/SUBJECT_2020_S1701_2026-05-06,"https://api.census.gov/data/2020/acs/acs5/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs5/subject:2020:S1701:05,high,partially_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2021_ACS_POVERTY_RATE,AR,Arkansas,2021,frpl_eligible_rate,16.3000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2021_S1701_2026-05-06,"https://api.census.gov/data/2021/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2021:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2022_ACS_POVERTY_RATE,AR,Arkansas,2022,frpl_eligible_rate,16.8000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2022_S1701_2026-05-06,"https://api.census.gov/data/2022/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2022:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2023_ACS_POVERTY_RATE,AR,Arkansas,2023,frpl_eligible_rate,15.7000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2023_S1701_2026-05-06,"https://api.census.gov/data/2023/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2023:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AR_2024_ACS_POVERTY_RATE,AR,Arkansas,2024,frpl_eligible_rate,15.5000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2024_S1701_2026-05-06,"https://api.census.gov/data/2024/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2024:S1701:05,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AZ_2010_ACS_POVERTY_RATE,AZ,Arizona,2010,frpl_eligible_rate,17.4000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2010_S1701_2026-05-06,"https://api.census.gov/data/2010/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2010:S1701:04,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AZ_2011_ACS_POVERTY_RATE,AZ,Arizona,2011,frpl_eligible_rate,19.0000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2011_S1701_2026-05-06,"https://api.census.gov/data/2011/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2011:S1701:04,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AZ_2012_ACS_POVERTY_RATE,AZ,Arizona,2012,frpl_eligible_rate,18.7000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2012_S1701_2026-05-06,"https://api.census.gov/data/2012/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2012:S1701:04,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AZ_2013_ACS_POVERTY_RATE,AZ,Arizona,2013,frpl_eligible_rate,18.6000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2013_S1701_2026-05-06,"https://api.census.gov/data/2013/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2013:S1701:04,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AZ_2014_ACS_POVERTY_RATE,AZ,Arizona,2014,frpl_eligible_rate,18.2000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2014_S1701_2026-05-06,"https://api.census.gov/data/2014/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2014:S1701:04,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AZ_2015_ACS_POVERTY_RATE,AZ,Arizona,2015,frpl_eligible_rate,17.4000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2015_S1701_2026-05-06,"https://api.census.gov/data/2015/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2015:S1701:04,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AZ_2016_ACS_POVERTY_RATE,AZ,Arizona,2016,frpl_eligible_rate,16.4000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2016_S1701_2026-05-06,"https://api.census.gov/data/2016/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2016:S1701:04,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AZ_2017_ACS_POVERTY_RATE,AZ,Arizona,2017,frpl_eligible_rate,14.9000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2017_S1701_2026-05-06,"https://api.census.gov/data/2017/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2017:S1701:04,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AZ_2018_ACS_POVERTY_RATE,AZ,Arizona,2018,frpl_eligible_rate,14.0000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2018_S1701_2026-05-06,"https://api.census.gov/data/2018/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2018:S1701:04,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AZ_2019_ACS_POVERTY_RATE,AZ,Arizona,2019,frpl_eligible_rate,13.5000,,percent,Census_ACS,ACS/ACS1/SUBJECT S1701,ACS/ACS1/SUBJECT_2019_S1701_2026-05-06,"https://api.census.gov/data/2019/acs/acs1/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs1/subject:2019:S1701:04,high,fully_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
AZ_2020_ACS_POVERTY_RATE,AZ,Arizona,2020,frpl_eligible_rate,14.1000,,percent,Census_ACS,ACS/ACS5/SUBJECT S1701,ACS/ACS5/SUBJECT_2020_S1701_2026-05-06,"https://api.census.gov/data/2020/acs/acs5/subject?get=NAME,S1701_C03_001E&for=state:*",acs/acs5/subject:2020:S1701:04,high,partially_comparable,Using ACS poverty percent (S1701_C03_001E) as socioeconomic context proxy.
